City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alt-sanitz,53.8136,13.5879,8.96,79,100,7.17,DE,1698777382
84,port elizabeth,-33.918,25.5701,17.16,82,0,6.17,ZA,1698777319
85,tazacorte,28.629,-17.9293,24.54,77,20,4.63,ES,1698777392
86,invercargill,-46.4,168.35,8.9,99,73,0.89,NZ,1698777396
87,longyearbyen,78.2186,15.6401,-4.09,58,40,8.75,SJ,1698777401
88,sicuani,-14.2694,-71.2261,19.76,29,100,5.9,PE,1698777415
89,anadyr,64.75,177.4833,-2.72,100,75,3.0,RU,1698777429
90,flying fish cove,-10.4217,105.6791,25.82,88,100,4.12,CX,1698777444
91,sitka,57.0531,-135.33,7.94,87,100,0.0,US,1698777482
92,peterhead,57.5058,-1.7981,4.69,61,90,4.63,GB,1698777401
93,stanley,54.868,-1.6985,6.51,89,100,3.14,GB,1698777502
94,ichinohe,40.2069,141.3017,7.98,95,1,2.41,JP,1698777522
95,ilulissat,69.2167,-51.1,6.01,42,75,13.38,GL,1698777527
96,maputo,-25.9653,32.5892,15.82,88,75,3.6,MZ,1698777542
97,punta arenas,-53.15,-70.9167,10.06,46,40,9.26,CL,1698777451
98,aliveri,38.4167,24.0333,21.9,76,96,3.01,GR,1698777567
99,callao,-12.0667,-77.15,21.16,73,0,4.12,PE,1698777586
100,charters towers,-20.1,146.2667,17.87,69,49,3.67,AU,1698777600
101,gadzhiyevo,69.2551,33.3362,0.03,77,100,5.13,RU,1698777650
102,vrangel',42.7297,133.0839,11.7,96,14,1.88,RU,1698777656
103,walvis bay,-22.9575,14.5053,16.16,93,72,1.83,NA,1698777666
104,nuku'alofa,-21.1333,-175.2,23.19,94,75,8.75,TO,1698777630
105,changji,44.0167,87.3167,10.44,81,75,6.0,CN,1698777685
106,celestun,20.8667,-90.4,28.64,61,9,5.52,MX,1698777690
107,paradip garh,20.3167,86.6167,24.62,69,4,1.89,IN,1698777695
108,constantia,44.1833,28.65,16.5,95,0,4.49,RO,1698777441
109,tura,25.5198,90.2201,20.03,78,0,1.58,IN,1698777705
110,red deer,52.2668,-113.802,5.27,52,75,3.6,CA,1698777711
111,st. john's,47.5649,-52.7093,4.38,85,75,6.17,CA,1698777709
112,ust'-kut,56.7938,105.7672,-13.65,67,0,1.34,RU,1698777721
113,bayanhongor,46.7167,100.1167,-1.94,77,100,1.84,MN,1698777725
114,isola di capo rizzuto,38.96,17.0933,22.41,64,75,5.14,IT,1698777730
115,linxia chengguanzhen,35.6003,103.2064,9.49,29,0,1.21,CN,1698777450
116,general acha,-37.377,-64.6043,16.84,31,100,7.32,AR,1698777740
117,kani keli,-12.9536,45.1033,26.59,77,7,2.78,YT,1698777744
118,xilin hot,43.9667,116.0333,3.32,55,24,2.01,CN,1698777749
119,floro,61.5996,5.0328,5.54,48,20,6.17,NO,1698777754
120,saldanha,-33.0117,17.9442,22.03,80,84,4.88,ZA,1698777769
121,smithers,54.7804,-127.1743,-3.82,86,75,3.09,CA,1698777773
122,manthani,18.65,79.6667,21.85,67,68,0.86,IN,1698777778
123,sao joao da barra,-21.6403,-41.0511,30.05,87,100,6.52,BR,1698777783
124,hithadhoo,-0.6,73.0833,27.27,80,13,5.48,MV,1698777796
125,laojunmiao,39.8333,97.7333,7.36,24,6,0.16,CN,1698777806
126,ishikawa,26.4233,127.8214,23.41,81,0,3.6,JP,1698777820
127,ezhou,30.4,114.8333,19.6,60,52,2.53,CN,1698777824
128,la'ie,21.6477,-157.9253,28.92,82,4,0.89,US,1698777828
129,nabire,-3.3667,135.4833,24.15,93,100,1.65,ID,1698777843
130,suoyarvi,62.0833,32.35,-2.6,93,100,4.08,RU,1698777848
131,wakkanai,45.4094,141.6739,14.49,84,100,7.6,JP,1698777854
132,barra de santo antonio,-9.4047,-35.5072,29.6,61,5,5.87,BR,1698777858
133,vilyuchinsk,52.9306,158.4028,1.63,83,100,1.38,RU,1698777847
